,mAP@5,mAP@10,mAP@15,views,037_scissors@5,037_scissors@10,037_scissors@15,018_plum@5,018_plum@10,018_plum@15,065-e_cups@5,065-e_cups@10,065-e_cups@15,017_orange@5,017_orange@10,017_orange@15,008_pudding_box@5,008_pudding_box@10,008_pudding_box@15,005_tomato_soup_can@5,005_tomato_soup_can@10,005_tomato_soup_can@15,010_potted_meat_can@5,010_potted_meat_can@10,010_potted_meat_can@15
GDN_edgeconv_5_view,0.8379563597785665,0.9629379440887729,0.9752726407930008,5,0.6014439484126983,0.8468649179579237,0.8818054965041572,0.34114701436130007,0.4971972519166397,0.7324247291509197,0.9414206677089912,0.9831072878161918,0.9862269273513566,0.6632398673755218,0.9951581558549345,0.9996861707646021,0.9588377763029331,0.9894391615047105,0.9905428657461177,0.9497856086879196,0.9910310420464482,0.9942306089102307,0.8920255919828249,0.9657996664274177,0.9746468163985171
GDN_pointnet2_5_view,0.8361819179805151,0.9577987842172597,0.9738749697300725,5,0.5467733607331822,0.8305967498110356,0.8494825798374904,0.48139091350826047,0.7695280162329483,0.9549784265558074,0.9430880807421902,0.9895134207919597,0.9939845769611751,0.7969811390164533,0.9913784958427816,1.0,0.9538615677752582,0.9988030713640471,0.9995445648900934,0.8513120129003983,0.9468275603892352,0.9708336310714762,0.8526016372157329,0.9523865326553902,0.9648025308006801
PointnetGPD_5_view,0.4513554442356709,0.5543415895673803,0.5718655042012879,5,0.6617742819349962,0.7509349017384731,0.7623712876354245,0.049135487528344665,0.0570719954648526,0.0570719954648526,0.27251778768331275,0.45573051595067254,0.4892170075792874,0.21168550753634788,0.28236207445941347,0.2943221680206475,0.7208184062920561,0.9126076559801879,0.9383862510677259,0.5577855348488601,0.6213330848212297,0.6309413884601458,0.48521303759599077,0.5653702208396586,0.5850011644869588
GPD_5_view,0.39661779520079204,0.4970301275365532,0.5118931972900402,5,0.40139087301587306,0.48869090136054416,0.49542205215419505,0.0,0.0,0.0,0.2611492793464418,0.42147156084656084,0.4387264678829421,0.25343920901694006,0.31512934803551057,0.32577216071613835,0.7636493917801991,0.9426951979978985,0.9516981645865212,0.3972220554888622,0.46450457166993775,0.48865519488218556,0.4144386484752631,0.5119878109974149,0.528836391699537
GDN_pointnet2_asymmetric_roll_5_view,0.21391670021954598,0.4265864555316957,0.5606224206571778,5,0.015624999999999997,0.06581349206349206,0.14604414682539682,0.6623926951733073,0.8712932031278119,0.986189846308894,0.2271372399797057,0.29531872870913967,0.5092137136437528,0.5556190372974587,0.9726843316691757,0.9999066293183939,0.22638283972125436,0.6328030632984901,0.7484578444069588,0.05044184340402827,0.14711517940509536,0.3009525238666896,0.03287981859410431,0.16733637899604284,0.3723990151616202
GDN_edgeconv_asymmetric_roll_5_view,0.19369836389928305,0.3384180059440345,0.5123021701646239,5,0.0,0.04283730158730159,0.12374751984126983,0.7589348589965086,0.9557771951373141,1.0,0.09655359860839313,0.1617534608972965,0.38129312531709797,0.4859901023901623,0.8988876370654083,0.997409334104012,0.1634589947089947,0.23235925603303656,0.531921232924064,0.0340202747765773,0.1364879285047352,0.36565176070428174,0.14012521675336798,0.18805936660378442,0.3139236805833444
GDN_pointnet2_regression_5_view,0.16416198094864173,0.35375246527416093,0.5065663076675507,5,0.0,0.005902777777777778,0.1556712962962963,0.18401360544217688,0.7656462585034014,0.8474914965986395,0.10686018699717328,0.30730557367543665,0.4956420391596517,0.013617113512071495,0.10969554488462052,0.37157501889644745,0.618302442250613,0.8681360478925082,0.9000421194900723,0.022222222222222223,0.14888455382152863,0.2842876039304611,0.2317060157396292,0.545186908096572,0.6772422064063719
GDN_edgeconv_no_bin_5_view,0.09905631274889226,0.28897091816703124,0.4345482018550124,5,0.0,0.0,0.026458333333333334,0.03214285714285715,0.569047619047619,0.7600198412698411,0.0,0.06621004566210047,0.2579908675799087,0.0016806722689075631,0.08641456582633053,0.25707282913165264,0.14568815331010454,0.47961430507162217,0.612963439214891,0.04369747899159664,0.24257703081232493,0.39434773909563825,0.32159197012138196,0.6073879551820729,0.7364730098388563
GDN_pointnet2_no_bin_5_view,0.04297720707835549,0.22708753996298164,0.39923639489168256,5,0.02023809523809524,0.06303571428571428,0.13137896825396825,0.014285714285714287,0.1292091836734694,0.7212726757369614,0.21867389649923896,0.4801696020874104,0.5022532072189606,0.006302521008403361,0.40647592370281443,0.8286748032546352,0.05060975609756097,0.20579268292682926,0.28859368950832365,0.011354541816726689,0.039725890356142456,0.09544567827130852,0.009253701480592237,0.16114112311591303,0.3387841962181698
GDN_edgeconv_regression_5_view,0.03649531661899153,0.10070888720623702,0.23890958400439088,5,0.0,0.0,0.0,0.03571428571428571,0.32142857142857145,0.4781746031746032,0.0,0.0,0.057534246575342465,0.0,0.029411764705882353,0.20212084833933572,0.02460801393728223,0.13091205316815072,0.48058253484320557,0.0,0.0,0.11360961051087103,0.15242430305455518,0.3215667378062337,0.3978881314430533
